,"URL describes","URL type","Modification date",URL
"AGILE/URL 0",AGILE,Homepage,"7 December 2010 17:11:07",http://www.ece.northwestern.edu/%7Esmi539/agile.html
"AGP/URL 0",AGP,Description,"27 May 2010 15:46:33",http://www.ncbi.nlm.nih.gov/projects/genome/assembly/agp/
"ALEXA-Seq/URL 0",ALEXA-Seq,Homepage,"24 August 2010 16:32:28",http://www.alexaplatform.org/alexa_seq/downloads.htm
"ALLPATHS/URL 0",ALLPATHS,Homepage,"19 August 2009 08:00:00",http://www.broad.mit.edu/science/programs/genome-biology/computational-rd/computational-research-and-development
"AMOS/URL 0",AMOS,Homepage,"10 December 2009 09:14:36",http://amos.sourceforge.net/
"ANCHOR/URL 0",ANCHOR,Homepage,"6 October 2011 09:59:37",http://www.bcgsc.ca/platform/bioinfo/software/anchor
"ANNOVAR/URL 0",ANNOVAR,Homepage,"7 August 2010 02:20:08",http://www.openbioinformatics.org/annovar/
"ANNOVAR/URL 1",ANNOVAR,Homepage,"7 August 2010 02:20:32",http://www.openbioinformatics.org/annovar/
"ANNOVAR/URL 2",ANNOVAR,Homepage,"7 August 2010 02:20:40",http://www.openbioinformatics.org/annovar/
"AREM/URL 0",AREM,"Source code","10 November 2011 00:55:47",http://sourceforge.net/projects/arem
"ASC/URL 0",ASC,Homepage,"24 November 2010 15:48:35",http://www.stat.brown.edu/Zwu/research.aspx
"ATAC/URL 0",ATAC,Description,"17 April 2015 12:56:40",http://kmer.sourceforge.net/wiki/index.php/Overview_of_the_ATAC_process
"ATAC/URL 1",ATAC,HOWTO,"17 April 2015 12:57:42",http://kmer.sourceforge.net/wiki/index.php/Getting_Started_with_ATAC
"ATAC/URL 2",ATAC,"Source code","16 July 2010 09:00:13",https://sourceforge.net/projects/kmer/
"Adapter Removal/URL 0","Adapter Removal (software)",Homepage,"14 February 2012 12:28:28",http://srna-workbench.cmp.uea.ac.uk
"Adapter Removal/URL 1","Adapter Removal (software)",Manual,"14 February 2012 12:29:46",http://srna-workbench.cmp.uea.ac.uk/tools/adapter-removal/
"Agp2amos/URL 0",Agp2amos,Homepage,"13 September 2011 22:28:12",http://skip.ucsc.edu/phage_contigs/hartzog_phage/AMOS/bin/agp2amos
"Alcovna/URL 0",Alcovna,Homepage,"29 September 2010 12:44:53",http://alcovna.genouest.org/
"Alta-Cyclic/URL 0",Alta-Cyclic,Homepage,"21 September 2009 10:18:28",http://hannonlab.cshl.edu/Alta-Cyclic/main.html
"AnCorr/URL 0",AnCorr,Homepage,"8 February 2015 20:48:30",http://ancorr.eimb.ru
"Anno-J/URL 0",Anno-J,Homepage,"30 November 2011 15:22:18",http://www.annoj.org/
"Arachne/URL 0",Arachne,Homepage,"22 September 2011 22:59:07",http://www.broadinstitute.org/crd/wiki/index.php/Arachne_binary_format
"Arf/URL 0",Arf,Manual,"18 September 2012 17:33:47",http://genome.sph.umich.edu/wiki/Arf
"Array Suite (Array Studio/Server)/URL 0","Array Suite (Array Studio/Server)",Homepage,"6 September 2011 08:29:31",http://www.omicsoft.com/product-overview.php
"ArrayExpressHTS/URL 0",ArrayExpressHTS,Homepage,"20 May 2011 03:31:56",http://www.ebi.ac.uk/tools/rcloud
"ArrayExpressHTS/URL 1",ArrayExpressHTS,Manual,"20 May 2011 03:33:44",http://www.ebi.ac.uk/Tools/rwiki/
"ArrayStar/URL 0",ArrayStar,Homepage,"12 January 2015 14:27:10",http://www.dnastar.com/t-sub-products-genomics-arraystar.aspx
"Atlas Suite/URL 0","Atlas Suite","Source code","30 August 2011 19:38:45",https://sourceforge.net/projects/atlassuite/files/
"Atlas Suite/URL 1","Atlas Suite",Description,"30 August 2011 19:39:46",http://sourceforge.net/p/atlassuite/wiki/Atlas%20Suite/
"Atlas-SNP2/URL 0",Atlas-SNP2,"Source code","18 December 2009 03:33:20",http://www.hgsc.bcm.tmc.edu/cascade-tech-software_atlas_snp-ti.hgsc
"Atlas-SNP2/URL 1",Atlas-SNP2,Description,"30 August 2011 19:25:06",http://sourceforge.net/p/atlassuite/wiki/Atlas%20Suite/
"Avadis NGS/URL 0","Strand NGS-formerly Avadis NGS",Homepage,"21 August 2014 13:12:24",http://strand-ngs.com
"Avadis NGS/URL 1","Avadis NGS",Related,"15 December 2011 10:57:52",http://blog.avadis-ngs.com
"BAM/URL 0",BAM,"Source code","6 October 2014 22:17:15",https://github.com/pezmaster31/bamtools
"BAMseek/URL 0",BAMseek,Binaries,"18 April 2011 06:32:27",http://code.google.com/p/bamseek/
"BAMseek/URL 1",BAMseek,"Source code","14 June 2011 02:35:02",https://github.com/jtb/BAMseek_java
"BBMap/URL 0",BBMap,Homepage,"28 February 2014 23:48:02",https://sourceforge.net/projects/bbmap/
"BBSeq/URL 0",BBSeq,"Source code","14 September 2011 14:14:47",http://www.bios.unc.edu/research/genomic_software/BBSeq
"BEAP/URL 0",BEAP,Homepage,"21 September 2009 07:57:29",http://www.animalgenome.org/bioinfo/tools/beap/
"BEDTools/URL 0",BEDTools,"Source code","12 January 2010 13:58:25",http://code.google.com/p/bedtools/
"BFAST/URL 0",BFAST,Homepage,"9 June 2010 09:56:29",https://sourceforge.net/apps/mediawiki/bfast/index.php?title=Main_Page
"BFAST/URL 1",BFAST,Homepage,"18 September 2009 08:51:45",http://bfast.sourceforge.net
"BFCounter/URL 0",BFCounter,Homepage,"6 September 2011 08:12:04",http://pritch.bsd.uchicago.edu/bfcounter.html
"BFCounter/URL 1",BFCounter,"Source code","27 September 2013 15:49:52",https://github.com/pmelsted/BFCounter
"BING/URL 0",BING,Homepage,"6 January 2010 21:34:10",ftp://ftp.dinulab.org/
"BLAST Ring Image Generator/URL 0","BLAST Ring Image Generator","Publication full text","23 February 2014 01:20:16",http://www.ncbi.nlm.nih.gov/pubmed/21824423
"BLAST Ring Image Generator/URL 1","BLAST Ring Image Generator","Source code","23 February 2014 01:19:26",http://sourceforge.net/projects/brig/
"BLAT/URL 0",BLAT,Homepage,"9 November 2009 12:00:44",http://genome.ucsc.edu/FAQ/FAQblat
"BLAT/URL 1",BLAT,,"11 November 2009 23:54:23",http://www.google.com
"BOAT/URL 0",BOAT,Homepage,"8 February 2010 17:30:51",http://boat.cbi.pku.edu.cn
"BOW/URL 0",BOW,Homepage,"23 February 2014 00:50:08",http://bow.codeplex.com/
"BRAT/URL 0",BRAT,"Source code","28 December 2009 14:52:03",http://compbio.cs.ucr.edu/brat/
"BRCA-diagnostic/URL 0",BRCA-diagnostic,"Source code","7 October 2010 19:10:32",http://cbcb.umd.edu/software/BRCA-diagnostic/
"BS Seeker/URL 0","BS Seeker","Source code","28 April 2010 17:49:03",http://pellegrini.mcdb.ucla.edu/BS_Seeker/BS_Seeker.html
"BS-Seq/URL 0",BS-Seq,Homepage,"21 December 2009 23:45:46",http://epigenomics.mcdb.ucla.edu/BS-Seq/download.html
"BSMAP/URL 0",BSMAP,"Source code","24 September 2009 21:22:11",http://code.google.com/p/bsmap/
"BSSim/URL 0",BSSim,"Source code","27 September 2012 13:40:27",http://122.228.158.106/BSSim
"BWA-SW/URL 0",BWA-SW,Homepage,"14 September 2011 10:23:48",http://bio-bwa.sourceforge.net/
"BWA/URL 0",BWA,Related,"3 September 2010 10:35:39",http://maq.sourceforge.net
"BWA/URL 1",BWA,Homepage,"12 September 2009 17:27:09",http://bio-bwa.sourceforge.net
"Baa.pl/URL 0",Baa.pl,Homepage,"2 February 2013 12:42:21",http://josephryan.github.com/baa.pl/
"BamTools/URL 1",BamTools,"Source code","27 May 2011 13:12:56",https://github.com/pezmaster31/bamtools
"BamView/URL 0",BamView,"Source code","13 January 2010 18:17:37",http://bamview.sourceforge.net/
"Bambino/URL 0",Bambino,Homepage,"3 February 2011 16:06:16",https://cgwb.nci.nih.gov/goldenPath/bamview/documentation/index.html
"Bambus/URL 0",Bambus,Homepage,"12 September 2011 01:09:49",http://www.cbcb.umd.edu/software/bambus/
"Barcode generator/URL 0","Barcode generator",HOWTO,"9 May 2011 12:48:46",http://www.youtube.com/watch?v=hgSoJiOoSQQ&feature=related
"Barcode generator/URL 1","Barcode generator",Homepage,"9 May 2011 12:49:49",http://comailab.genomecenter.ucdavis.edu/index.php/Barcode_generator
"Barcrawl Bartab/URL 0","Barcrawl Bartab","Source code","30 December 2009 17:29:53",http://www.phyloware.com/Phyloware/XSTK.html
"BarraCUDA/URL 0",BarraCUDA,"Source code","14 February 2012 14:58:37",http://seqbarracuda.sf.net
"BarraCUDA/URL 1",BarraCUDA,Description,"13 June 2015 08:51:48",http://www.cs.ucl.ac.uk/staff/W.Langdon/barracuda/
"Batman/URL 0",Batman,Homepage,"21 September 2009 10:23:44",http://td-blade.gurdon.cam.ac.uk/software/batman/
"BaySeq/URL 0",BaySeq,Homepage,"26 October 2011 09:50:19",http://www.bioconductor.org/packages/release/bioc/html/baySeq.html
"BayesCall/URL 0",BayesCall,Homepage,"21 September 2009 10:26:20",http://bayescall.sourceforge.net/
"BayesPeak/URL 0",BayesPeak,Homepage,"30 December 2009 16:39:04",http://www.compbio.group.cam.ac.uk/Resources/BayesPeak/csbayespeak.html
"BayesPeak/URL 1",BayesPeak,"Source code","12 November 2010 19:15:21",http://bioconductor.org/help/bioc-views/release/bioc/html/BayesPeak.html
"Bcbio-nextgen/URL 0",Bcbio-nextgen,Homepage,"21 November 2011 13:50:41",https://github.com/chapmanb/bcbb/blob/master/nextgen/README.md
"Bedutils/URL 0",Bedutils,Homepage,"12 January 2013 15:32:19",http://ngsutils.org/
"Belvu/URL 0",Belvu,Homepage,"21 September 2009 10:28:09",http://sonnhammer.sbc.su.se/Belvu.html
"BiQ Analyzer HT/URL 0","BiQ Analyzer HT",Homepage,"11 April 2012 13:01:30",http://biq-analyzer-ht.bioinf.mpi-inf.mpg.de/
"BiQ Analyzer/URL 0","BiQ Analyzer",Homepage,"11 April 2012 12:50:58",http://biq-analyzer.bioinf.mpi-inf.mpg.de/
"BigBWA/URL 0",BigBWA,Homepage,"5 November 2015 17:25:29",https://github.com/citiususc/BigBWA
"BigBWA/URL 1",BigBWA,"Source code","5 November 2015 18:05:15",https://github.com/citiususc/BigBWA
"BioJava/URL 0",BioJava,Homepage,"23 February 2014 02:18:59",http://biojava.org/wiki/Main_Page
"BioJava/URL 1",BioJava,"Publication full text","23 February 2014 02:20:07",http://bioinformatics.oxfordjournals.org/content/28/20/2693.full.pdf?keytype=ref&ijkey=BzJOy9GgM2XNw07
"BioPHP/URL 0",BioPHP,Homepage,"23 February 2014 02:32:17",http://biophp.org/
"BioPerl/URL 0",BioPerl,Homepage,"23 February 2014 02:24:04",http://www.bioperl.org/wiki/Main_Page
"BioRuby/URL 0",BioRuby,Homepage,"23 February 2014 02:26:53",http://bioruby.org/
"BioRuby/URL 1",BioRuby,"Publication full text","23 February 2014 02:27:21",http://bioinformatics.oxfordjournals.org/content/26/20/2617.abstract
"BioSmalltalk/URL 0",BioSmalltalk,Homepage,"29 April 2013 22:54:54",http://code.google.com/p/biosmalltalk/
"Bionimbus/URL 0",Bionimbus,Homepage,"3 February 2011 15:43:22",http://www.bionimbus.org/
"Biopieces/URL 0",Biopieces,Homepage,"15 December 2011 16:29:09",http://www.biopieces.org
"Bis-SNP/URL 0",Bis-SNP,Homepage,"31 July 2012 23:49:03",http://epigenome.usc.edu/publicationdata/bissnp2011/index.html
"Bismark/URL 0",Bismark,Homepage,"14 June 2010 12:13:39",http://www.bioinformatics.bbsrc.ac.uk/projects/
"Bison/URL 0",Bison,"Source code","21 June 2013 13:42:31",https://sourceforge.net/projects/dna-bison/
"Blixem/URL 0",Blixem,Homepage,"5 September 2009 07:47:05",http://sonnhammer.sbc.su.se/Blixem.html
"Bowtie/URL 0",Bowtie,Homepage,"13 September 2011 14:26:31",http://bowtie-bio.sourceforge.net/index.shtml
"BreakDancer/URL 0",BreakDancer,Homepage,"15 October 2009 00:10:30",http://sourceforge.net/projects/breakdancer/
"BreakDancer/URL 1",BreakDancer,"Mailing list","6 August 2010 18:04:28",https://lists.sourceforge.net/lists/listinfo/breakdancer-help
"BreakSeq/URL 0",BreakSeq,Homepage,"28 December 2009 15:02:38",http://sv.gersteinlab.org/breakseq/
"BreakTrans/URL 0",BreakTrans,Homepage,"15 March 2014 04:16:17",http://bioinformatics.mdanderson.org/main/BreakTrans
"Breakpointer/URL 0",Breakpointer,"Source code","7 February 2012 10:58:48",https://github.com/ruping/Breakpointer
"Breakway/URL 0",Breakway,Homepage,"9 June 2011 09:02:42",http://breakway.sourceforge.net
"Btrim/URL 0",Btrim,Binaries,"5 September 2011 12:36:28",http://graphics.med.yale.edu/trim/
"CABOG/URL 0",CABOG,Homepage,"19 August 2009 08:03:34",http://wgs-assembler.sourceforge.net/
"CAF/URL 0",CAF,Homepage,"22 September 2011 23:21:55",http://www.sanger.ac.uk/resources/software/caf/
"CANGS/URL 0",CANGS,"Source code","26 October 2010 20:18:06",http://i122server.vu-wien.ac.at/pop/software.html.
"CARPET/URL 0",CARPET,Homepage,"4 September 2009 08:13:27",http://bio.ifom-ieo-campus.it/galaxy
"CASHX/URL 0",CASHX,Homepage,"2 September 2009 08:27:42",http://jcclab.science.oregonstate.edu/node/view/56095
"CATCH/URL 0",CATCH,Homepage,"7 September 2010 09:37:21",http://catch.cmbi.ru.nl
"CEQer/URL 0",CEQer,Homepage,"8 November 2013 13:52:55",http://www.ngsbicocca.org/html/ceqer.html
"CEQer/URL 1",CEQer,"Publication full text","8 November 2013 13:53:54",http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0074825
"CGA Tools/URL 0","CGA Tools","Source code","3 February 2011 15:38:33",http://cgatools.sourceforge.net/
"CHiCAGO/URL 0",CHiCAGO,Homepage,"29 June 2015 13:22:32",http://regulatorygenomicsgroup.org/chicago
"CHiCAGO/URL 1",CHiCAGO,"Source code","29 June 2015 13:23:25",https://bitbucket.org/chicagoTeam/chicago/
"CHiCAGO/URL 2",CHiCAGO,"Source code","29 June 2015 13:24:00",https://bitbucket.org/chicagoTeam/chicago/
"CHiPSeq/URL 0",CHiPSeq,Homepage,"7 November 2011 20:54:06",http://woldlab.caltech.edu/wiki/Software
"CLCbio Genomics Workbench/URL 0","CLCbio Genomics Workbench",Homepage,"24 May 2010 20:06:37",http://www.clcbio.com/index.php?id=1240
"CLCbio Genomics Workbench/URL 1","CLCbio Genomics Workbench",HOWTO,"29 August 2010 23:59:42",http://www.clcbio.com/index.php?id=649
"CLEVER/URL 0",CLEVER,Homepage,"8 March 2012 18:07:10",http://clever-sv.googlecode.com/
"CLEVER/URL 1",CLEVER,"Publication full text","8 March 2012 18:08:50",http://arxiv.org/abs/1203.0937
"CNANorm/URL 0",CNANorm,Homepage,"18 November 2011 10:04:02",http://www.precancer.leeds.ac.uk/software-and-datasets/cnanorm/
"CNAseg/URL 0",CNAseg,Homepage,"22 October 2010 13:12:39",http://www.compbio.group.cam.ac.uk/software.html
"CNVator/URL 0",CNVnator,Homepage,"31 August 2011 23:25:57",http://sv.gersteinlab.org/cnvnator/
"CNVer/URL 0",CNVer,Homepage,"31 August 2010 14:06:41",http://compbio.cs.toronto.edu/cnver/
"CNVkit/URL 0",CNVkit,"Source code","1 November 2014 05:41:08",https://github.com/etal/cnvkit
"CNVkit/URL 1",CNVkit,Manual,"1 November 2014 06:09:01",http://cnvkit.readthedocs.org/
"CNVnator/URL 0",CNVnator,"Source code","16 February 2011 13:41:53",http://sv.gersteinlab.org/cnvnator/
"CNVseq/URL 0",CNVseq,"Source code","28 December 2009 21:46:54",http://tiger.dbs.nus.edu.sg/CNV-seq/
"CORAL (Contig Ordering Algorithm)/URL 0","CORAL (Contig Ordering Algorithm)",Homepage,"6 September 2011 12:48:46",http://www.bcgsc.ca/platform/bioinfo/software/coral/
"CPTRA/URL 0",CPTRA,"Source code","13 July 2010 14:52:55",http://people.tamu.edu/%7Esyuan/cptra/cptra.html
"CRAC/URL 0",CRAC,Homepage,"13 May 2013 16:58:10",http://crac.gforge.inria.fr
"CRAVAT/URL 0",CRAVAT,Homepage,"14 February 2016 21:22:28",http://www.cravat.us
"CRISP/URL 0",CRISP,Homepage,"29 September 2011 18:31:25",https://sites.google.com/site/vibansal/software/crisp
"CUDA-EC/URL 0",CUDA-EC,"Source code","7 December 2010 17:03:04",http://cuda-ec.sourceforge.net
"CatchAll/URL 0",CatchAll,Homepage,"13 September 2011 21:39:55",http://www.northeastern.edu/catchall/
"CexoR/URL 0",CexoR,"Source code","26 October 2013 11:09:51",http://bioconductor.org/packages/release/bioc/html/CexoR.html
"ChIP-Seq (application)/URL 0",ChIP-Seq,,"22 October 2012 09:12:40",http://ccg.vital-it.ch/chipseq
"ChIP-Seq (application)/URL 1",ChIP-Seq,"Source code","22 October 2012 09:12:40",http://sourceforge.net/projects/chip-seq
"ChIPMunk/URL 0",ChIPMunk,Homepage,"6 April 2012 16:39:29",http://autosome.ru/ChIPMunk/
"ChIPMunk/URL 1",ChIPMunk,Related,"1 February 2011 17:17:43",http://cmotifs.tchlab.org/help.html#example
"ChIPMunk/URL 2",ChIPMunk,Related,"5 March 2013 11:49:32",http://autosome.ru/dichipmunk/
"ChIPmeta/URL 0",ChIPmeta,"Source code","21 September 2009 10:36:11",http://www.umich.edu/%7Ehwchoi/HHMMsoftware.zip
"ChIPseqR/URL 0",ChIPseqR,Manual,"3 February 2011 15:48:15",http://www.bioconductor.org/help/bioc-views/release/bioc/html/ChIPseqR.html
"ChimeraScan/URL 0",ChimeraScan,"Source code","14 September 2011 15:45:15",http://chimerascan.googlecode.com
"Chipster/URL 0",Chipster,Homepage,"13 November 2011 15:14:52",http://chipster.csc.fi/
"Chipster/URL 1",Chipster,"Source code","13 November 2011 15:16:30",http://chipster.sourceforge.net/
"Chipster/URL 2",Chipster,Manual,"13 November 2011 15:20:15",https://extras.csc.fi/biosciences/chipster-manual/
"Chipster/URL 3",Chipster,"Publication full text","13 November 2011 15:53:13",http://www.biomedcentral.com/1471-2164/12/507
"ChromHMM/URL 0",ChromHMM,Homepage,"28 February 2012 22:41:41",http://compbio.mit.edu/ChromHMM
"Circos/URL 0",Circos,"Mailing list","23 February 2014 01:00:55",https://groups.google.com/forum/#%21forum/circos-data-visualization
"Circos/URL 1",Circos,Homepage,"23 February 2014 01:01:19",http://circos.ca/
"Circos/URL 2",Circos,Homepage,"23 February 2014 01:02:18",http://circos.ca/
"Circos/URL 3",Circos,"Publication full text","23 February 2014 01:03:15",http://genome.cshlp.org/content/early/2009/06/15/gr.092759.109.abstract
"Cistrome/URL 0",Cistrome,"Analysis server","14 September 2011 13:51:30",http://cistrome.org/ap/
"Clean reads/URL 0","Clean reads",Homepage,"7 September 2011 08:07:27",http://bioinf.comav.upv.es/clean_reads/
"CleaveLand/URL 0",CleaveLand,Homepage,"20 September 2011 12:56:52",http://axtell-lab-psu.weebly.com/cleaveland.html
"CloudAligner/URL 0",CloudAligner,"Source code","14 September 2011 15:59:14",http://cloudaligner.sourceforge.net/
"CloudAligner/URL 1",CloudAligner,"Analysis server","14 September 2011 15:59:26",http://mine.cs.wayne.edu:8080/CloudAligner/
"CloudBurst/URL 0",CloudBurst,Homepage,"18 August 2009 22:04:24",http://apps.sourceforge.net/mediawiki/cloudburst-bio/index.php?title=CloudBurst
"ClustDB/URL 0",ClustDB,Homepage,"2 September 2009 08:33:40",http://www.charite.de/molbiol/bioinf/bioinf/Computerprogramme/ClustDB/clustdb.html
"Cluster Flow/URL 0","Cluster Flow",Homepage,"4 December 2015 14:20:22",http://clusterflow.io/
"Cluster Flow/URL 1","Cluster Flow",HOWTO,"24 September 2014 14:11:32",http://youtu.be/b2g_zQiz9ys
"Cluster Flow/URL 2","Cluster Flow",HOWTO,"24 September 2014 14:22:20",http://youtu.be/aBHOcsA2M6w
"Cluster Flow/URL 3","Cluster Flow","Source code","24 September 2014 14:13:39",https://github.com/ewels/clusterflow/
"CnD/URL 0",CnD,"Source code","19 December 2009 04:57:31",http://www.sanger.ac.uk/Software/analysis/cnd/
"CnvHMM/URL 0",CnvHMM,Homepage,"20 September 2011 10:59:14",http://genome.wustl.edu/software/cnvhmm
"CoNAn-SNV/URL 0",CoNAn-SNV,Homepage,"7 October 2010 20:42:39",http://compbio.bccrc.ca/?page_id=342
"CompreheNGSive/URL 0",CompreheNGSive,Homepage,"4 December 2012 02:15:30",http://sci.utah.edu/%7Eabigelow/
"ConDeTri/URL 0",ConDeTri,Homepage,"5 September 2011 12:41:10",http://code.google.com/p/condetri/
"ContEst/URL 0",ContEst,"Source code","14 September 2011 13:57:04",https://confluence.broadinstitute.org/display/CGATools/ContEst
"Contra/URL 0",Contra,Manual,"25 May 2012 04:19:52",http://contra-cnv.sourceforge.net
"Contra/URL 1",Contra,"Publication full text","30 May 2012 04:41:01",http://bioinformatics.oxfordjournals.org/content/28/10/1307.full
"Contrail/URL 0",Contrail,"Source code","11 January 2010 18:54:26",http://sourceforge.net/projects/contrail-bio/
"Contrail/URL 1",Contrail,Description,"12 August 2011 15:58:04",http://sourceforge.net/apps/mediawiki/contrail-bio/index.php?title=Contrail
"CopySeq/URL 0",CopySeq,Homepage,"13 April 2011 11:37:34",http://www.embl.de/%7Ekorbel/CopySeq/
"CopySeq/URL 1",CopySeq,"Mailing list","13 April 2011 11:50:46",http://groups.google.com/group/copyseq
"Coral/URL 0",Coral,"Source code","20 May 2011 03:22:00",http://www.cs.helsinki.fi/u/lmsalmel/coral/
"Cortex/URL 0",Cortex,Homepage,"19 October 2011 07:04:02",http://cortexassembler.sourceforge.net/index.html
"Crossbow/URL 0",Crossbow,"Source code","18 December 2009 19:06:36",http://bowtie-bio.sourceforge.net/crossbow/
"Cufflinks/URL 0",Cufflinks,Homepage,"15 October 2009 11:46:17",http://cufflinks.cbcb.umd.edu/
"CummeRbund/URL 0",CummeRbund,Homepage,"27 November 2011 19:46:48",http://compbio.mit.edu/cummeRbund
"Curtain/URL 0",Curtain,Homepage,"6 April 2010 09:39:46",http://code.google.com/p/curtain/
"Custom Bismark output format/URL 0",Bismark,Homepage,"2 August 2011 15:28:30",http://www.bioinformatics.bbsrc.ac.uk/projects/bismark/
"Cutadapt/URL 0",Cutadapt,Homepage,"17 September 2010 09:25:00",http://code.google.com/p/cutadapt/
"Cutadapt/URL 1",Cutadapt,Manual,"7 November 2014 10:53:44",https://cutadapt.readthedocs.org/
"DCLIP/URL 0",DCLIP,"Source code","20 April 2014 22:24:30",http://qbrc.swmed.edu/software/
"DEGseq/URL 0",DEGseq,Homepage,"25 October 2009 02:42:15",http://bioinfo.au.tsinghua.edu.cn/software/degseq
"DEGseq/URL 1",DEGseq,,"11 December 2009 06:03:00",http://bioconductor.org/packages/release/bioc/html/DEGseq.html
"DESeq/URL 0",DESeq,Homepage,"30 April 2014 15:09:14",http://www.bioconductor.org/packages/release/bioc/html/DESeq2.html
"DESeq/URL 1",DESeq,Homepage,"30 April 2014 15:08:30",http://www.bioconductor.org/packages/release/bioc/html/DESeq2.html
"DESeq/URL 2",DESeq,"Publication full text","17 March 2010 09:41:36",http://precedings.nature.com/documents/4282/version/1
"DESeq/URL 3",DESeq,"Publication full text","9 February 2015 19:08:40",http://genomebiology.com/content/15/12/550
"DIAL/URL 0",DIAL,Homepage,"4 May 2010 16:51:23",http://www.bx.psu.edu/miller_lab/
"DNA Baser/URL 0","DNA Baser","Publication full text","27 April 2010 16:05:30",http://www.dnabaser.com/contact/our-customers/customers.html
"DNA Baser/URL 1","DNA Baser",Manual,"27 April 2010 16:06:14",http://www.dnabaser.com/help/manual.html
"DNA Baser/URL 2","DNA Baser","Mailing list","27 April 2010 16:06:35",http://www.dnabaser.com/contact/contact.html
"DNA Baser/URL 3","DNA Baser",Description,"10 September 2012 07:46:58",http://www.dnabaser.com
"DNA Baser/URL 4","DNA Baser",Binaries,"10 September 2012 08:10:43",http://www.dnabaser.com/download/DNA-Baser-sequence-assembler/index.html
"DNA Baser/URL 5","DNA Baser",HOWTO,"10 September 2012 08:09:52",http://www.dnabaser.com/The%20best%20DNA%20sequence%20assembler/5%20seconds.html
"DNA Baser/URL 6","DNA Baser",Related,"10 September 2012 08:10:17",http://www.dnabaser.com/download/download.html
"DNA Chromatogram Explorer/URL 0","DNA Chromatogram Explorer",Homepage,"27 April 2010 16:15:58",http://www.dnabaser.com/download/chromatogram-explorer/index.html
"DNAA/URL 0",DNAA,Homepage,"28 September 2009 20:36:40",http://dnaa.sourceforge.net/
"DNAzip/URL 0",DNAzip,Homepage,"30 March 2011 01:32:16",http://www.ics.uci.edu/%7Ednazip/
"DNaseR/URL 1",DNaseR,"Source code","26 October 2013 10:48:43",http://bioconductor.org/packages/release/bioc/html/DNaseR.html
"DSAP/URL 0",DSAP,Homepage,"22 May 2010 11:41:35",http://dsap.cgu.edu.tw
"DSGseq/URL 0",DSGseq,Homepage,"23 January 2013 03:10:39",http://bioinfo.au.tsinghua.edu.cn/software/DSGseq
