,Author,Journal,"Number of citations","Pubmed id","Reference describes",Title,Volume,Year,"Modification date"
15231754,"Darling ACE,Mau B,Blattner FR,Perna NT.","Genome Research",559," 15231754",Mauve,"Mauve: multiple alignment of conserved genomic sequence with rearrangements.",14(7),2004,"16 August 2010 11:52:56"
15383210,"Pop M,Phillippy A,Delcher AL,Salzberg SL.","Briefings in Bioinformatics",83," 15383210",AMOS,"Comparative Genome Assembly.",5,2004,"21 September 2009 09:25:10"
15713233,"Slater GS,Birney E.","BMC Bioinformatics",297," 15713233",Exonerate,"Automated generation of heuristics for biological sequence comparison.",6,2005,"21 September 2009 09:33:15"
15728110,"Wu TD,Watanabe CK.",Bioinformatics,235," 15728110",GMAP,"GMAP: a genomic mapping and alignment program for mRNA and EST sequences.",21,2005,"21 September 2009 09:38:30"
15980530,"Noé L,Kucherov G","Nucleic Acids Research",39," 15980530",YASS,"YASS: enhancing the sensitivity of DNA similarity search.",33,2005,"11 August 2011 23:47:36"
16141249,"Bock C,Reither S,Mikeska T,Paulsen M,Walter J,Lengauer T.","Bioinformatics (Oxford)",214," 16141249","BiQ Analyzer","BiQ Analyzer: visualization and quality control for DNA methylation data from bisulfite sequencing.",,2005,"11 April 2012 12:55:33"
16204131,"Myers EW",Bioinformatics,40," 16204131",SGA,"The fragment assembly string graph.",,2005,"29 November 2012 17:27:19"
17158514,"Warren RL,Sutton GG,Jones SJ,Holt RA.",Bioinformatics,135," 17158514",SSAKE,"Assembling millions of short DNA sequences using SSAKE.",23,2007,"9 September 2009 13:24:58"
17255551,"Huson DH,Auch AF,Qi J,Schuster SC.","Genome Research",524," 17255551",MEGAN,"MEGAN Analysis of Metagenomic Data",17,2007,"21 September 2009 08:50:25"
17349036,"Schatz MC,Phillippy AM,Shneiderman B,Salzberg SL.","Genome Biology",39," 17349036",HawkEye,"Hawkeye: an interactive visual analytics tool for genome assemblies.",8,2007,"8 September 2011 12:35:22"
17490482,"Dong Q,Wilkerson MD,Brendel V.","BMC Bioinformatics",6," 17490482",Tracembler,"Tracembler--software for in-silico chromosome walking in unassembled genomes.",8,2007,"21 September 2009 10:14:23"
17534434,"Sundquist A,Ronaghi M,Tang H,Pevzner P,Batzoglou S.","PLoS One",45," 17534434",SHRAP,"Whole-genome sequencing and assembly with high-throughput, short-read technologies.",30,2007,"13 January 2010 18:35:55"
17537755,"Schulze U,Hepp B,Ong CS,Rätsch G",Bioinformatics,6," 17537755",PALMA,"PALMA: mRNA to genome alignments using large margin algorithms",23,2007,"21 December 2009 23:55:54"
17540862,"Johnson DS,Mortazavi A,Myers RM,Wold B.",Science,793," 17540862",CHiPSeq,"Genome-wide mapping of in vivo protein-DNA interactions.",316,2007,"13 January 2010 18:26:54"
17570866,"Kleffe J,Möller F,Wittig B.","BMC Bioinformatics",1," 17570866",ClustDB,"Simultaneous identification of long similar substrings in large sets of sequences",24,2007,"2 September 2009 08:32:55"
17728317,"Robinson MD,Smyth GK",Biostatistics,138," 17728317",EdgeR,"Small-sample estimation of negative binomial dispersion, with applications to SAGE data",9,2008,"6 April 2011 07:25:35"
17881408,"Robinson MD,Smyth GK",Bioinformatics,148," 17881408",EdgeR,"Moderated statistical tests for assessing differences in tag abundance",23,2007,"6 April 2011 07:23:28"
17893086,"Jeck WR,Reinhardt JA,Baltrus DA,Hickenbotham MT,Magrini V,Mardis ER,Dangl JL,Jones CD.",Bioinformatics,71," 17893086",VCAKE,"Extending assembly of short DNA sequences to handle error.",23,2007,"9 September 2009 13:26:25"
17908823,"Dohm JC,Lottaz C,Borodina T,Himmelbauer H.","Genome Research",83," 17908823",SHARCGS,"SHARCGS, a fast and highly accurate short-read assembly algorithm for de novo genomic sequencing.",,2007,"9 September 2009 20:00:07"
18057021,"Aleksey V. Zimin,Douglas R. Smith,Granger Sutton,James A. Yorke",Bioinformatics,17," 18057021",Reconciliator,"Assembly reconciliation",24,2008,"21 September 2009 07:46:07"
18070356,"Schatz MC,Trapnell C,Delcher AL,Varshney A.","BMC Bioinformatics",37," 18070356",MUMmerGPU,"High-throughput sequence alignment using Graphics Processing Units.",10,2007,"9 September 2009 20:05:44"
18184432,"Döring A,Weese D,Rausch T,Reinert K.","BMC Bioinformatics",55," 18184432",SeqAn,"SeqAn an efficient, generic C++ library for sequence analysis.",9,2008,"18 January 2011 19:07:56"
18193056,"Quinlan AR,Stewart DA,Strömberg MP,Marth GT","Nature Methods",100," 18193056",PyroBayes,"Pyrobayes: an improved base caller for SNP discovery in pyrosequences.",5,2008,"16 July 2010 08:00:23"
18202027,"White JR,Roberts M,Yorke JA,Pop M",Bioinformatics,16," 18202027",Figaro,"Figaro: a novel statistical method for vector sequence removal.",24,2008,"20 November 2009 08:48:38"
18212088,"Brockman W,Alvarez P,Young S,Garber M,Giannoukos G,Lee WL,Russ C,Lander ES,Nusbaum C,Jaffe DB.","Genome Research",126," 18212088",SWAP454,"Quality scores and SNP detection in sequencing-by-synthesis systems.",18,2008,"21 September 2009 08:46:06"
18227114,"Li R,Li Y,Kristiansen K,Wang J.",Bioinformatics,560," 18227114",SOAP,"SOAP: short oligonucleotide alignment program",24,2008,"21 September 2009 10:02:24"
18264105,"Hamady M,Walker JJ,Harris JK,Gold NJ,Knight R.","Nature Methods",344," 18264105","Standalone hamming","Error-correcting barcoded primers for pyrosequencing hundreds of samples in multiplex.",,2008,"8 September 2009 14:54:35"
18278030,"Cokus SJ,Feng S,Zhang X,Chen Z,Merriman B,Haudenschild CD,Pradhan S,Nelson SF,Pellegrini M,Jacobsen SE",Nature,541," 18278030",BS-Seq,"Shotgun bisulphite sequencing of the Arabidopsis genome reveals DNA methylation patterning.",452,2008,"21 December 2009 23:46:48"
18307793,"Smith AD,Xuan Z,Zhang MQ","BMC Bioinformatics",105," 18307793",RMAP,"Using quality scores and longer reads improves accuracy of Solexa read mapping.",9,2008,"21 December 2009 23:30:19"
18332092,"Hernandez D,François P,Farinelli L,Osterås M,Schrenzel J.","Genome Research",195," 18332092",EDENA,"De novo bacterial genome sequencing: millions of very short reads assembled on a desktop computer.",,2008,"9 September 2009 19:52:56"
18340039,"Butler J,MacCallum I,Kleber M,Shlyakhter IA,Belmonte MK,Lander ES,Nusbaum C,Jaffe DB.","Genome Research",225," 18340039",ALLPATHS,"ALLPATHS: de novo assembly of whole-genome shotgun microreads.",18,2008,"19 August 2009 08:02:07"
18349386,"Zerbino DR,Birney E.","Genome Research","2,414"," 18349386",Velvet,"Velvet: algorithms for de novo short read assembly using de Bruijn graphs.",18,2008,"21 September 2009 09:23:15"
18392026,"Friedländer MR,Chen W,Adamidi C,Maaskola J,Einspanier R,Knespel S,Rajewsky N.","Nature Biotechnology",304," 18392026",MiRDeep,"Discovering microRNAs from deep sequencing data using miRDeep",,2008,"11 August 2011 23:41:27"
18428797,"Donlin MJ","Curr Protoc Bioinformatics",7," 18428797",GBrowse,"Using the Generic Genome Browser (GBrowse).",9,2007,"12 August 2011 10:22:18"
18467344,"Prüfer K,Stenzel U,Dannemann M,Green RE,Lachmann M,Kelso J.",Bioinformatics,44," 18467344",PatMaN,"PatMaN: rapid alignment of short sequences to large databases.",24,2008,"21 September 2009 08:23:59"
18507856,"Dolan PC,Denver DR.","BMC Bioinformatics",15," 18507856",TileQC,"TileQC: a system for tile-based quality control of Solexa data.",9,2008,"3 September 2009 18:17:38"
18516045,"Mortazavi A,Williams BA,McCue K,Schaeffer L,Wold B","Nature Methods","2,289"," 18516045",ERANGE,"Mapping and quantifying mammalian transcriptomes by RNA-Seq.",5,2008,"11 February 2012 16:48:24"
18550804,"Huang W,Marth G.","Genome Research",63," 18550804","EagleView genome viewer","EagleView: a genome assembly viewer for next-generation sequencing technologies.",18,2008,"21 September 2009 08:36:31"
18599518,"Fejes AP,Robertson G,Bilenky M,Varhol R,Bainbridge M,Jones SJ.",Bioinformatics,144," 18599518","FindPeaks 3.1","FindPeaks 3.1: a tool for identifying areas of enrichment from massively parallel short-read sequencing technology.",,2008,"18 August 2009 22:39:10"
18604217,"Erlich Y,Mitra PP,delaBastide M,McCombie WR,Hannon GJ.","Nature Methods",57," 18604217",Alta-Cyclic,"Alta-Cyclic: a self-optimizing base caller for next-generation sequencing.",5,2008,"21 September 2009 10:20:05"
18612301,"Down TA,Rakyan VK,Turner DJ,Flicek P,Li H,Kulesha E,Gräf S,Johnson N,Herrero J,Tomazou EM,Thorne NP,Bäckdahl L,Herberth M,Howe KL,Jackson DK,Miretti MM,Marioni JC,Birney E,Hubbard TJ,Durbin R,Tavaré S,Beck S.","Nature Biotechnology",224," 18612301",Batman,"A Bayesian deconvolution strategy for immunoprecipitation-based DNA methylome analysis.",26,2008,"11 August 2011 23:39:18"
1861983,"S.Dear,R.Staden","Nucleic Acids Research",114," 1861983",STADEN,"sequence assembly and editing program for efficient management of large projects",19(14),1991,"11 August 2011 23:44:28"
18684737,"Lin H,Zhang Z,Zhang MQ,Ma B,Li M.",Bioinformatics,69," 18684737",ZOOM,"ZOOM! Zillions of oligos mapped.",24,2008,"3 September 2009 18:22:42"
18684996,"Jothi R,Cuddapah S,Barski A,Cui K,Zhao K","Nucleic Acids Research",239," 18684996",Sissrs,"Genome-wide identification of in vivo protein-DNA binding sites from ChIP-Seq data.",36,2008,"11 August 2011 23:47:14"
18689821,"De Bona F,Ossowski S,Schneeberger K,Rätsch G.",Bioinformatics,37," 18689821",Qpalma,"Optimal spliced alignments of short sequence reads.",24,2008,"21 September 2009 09:49:02"
18689842,"Dalevi D,Ivanova NN,Mavromatis K,Hooper SD,Szeto E,Hugenholtz P,Kyrpides NC,Markowitz VM.",Bioinformatics,12," 18689842",Proxygenes,"Annotation of metagenome short reads using proxygenes.",15,2008,"21 September 2009 08:59:43"
18697769,"Jiang H,Wong WH.",Bioinformatics,107," 18697769",SeqMap,"SeqMap: mapping massive amount of oligonucleotides to the genome.",24,2008,"21 September 2009 09:54:25"
18714091,"Heng Li,Jue Ruan,Richard Durbin","Genome Research","1,110"," 18714091",MAQ,"Mapping short DNA sequencing reads and calling variants using mapping quality scores.",18,2008,"21 December 2009 23:49:32"
18786255,"Gruntman E,Qi Y,Slotkin RK,Roeder T,Martienssen RA,Sachidanandam R.","BMC Bioinformatics",45," 18786255",Kismeth,"Kismeth: analyzer of plant methylation states through bisulfite sequencing.",9,2008,"25 January 2011 20:25:57"
18798982,"Zhang Y,Liu T,Meyer CA,Eeckhoute J,Johnson DS,Bernstein BE,Nussbaum C,Myers RM,Brown M,Li W,Liu XS.","Genome Biology","1,133"," 18798982",MACS,"Model-based analysis of ChIP-Seq (MACS).",9,2008,"18 September 2009 15:57:45"
18803844,"Meyer F,Paarmann D,D'Souza M,Olson R,Glass EM,Kubal M,Paczian T,Rodriguez A,Stevens R,Wilke A,Wilkening J,Edwards RA.","BMC Bioinformatics",542," 18803844",MG-RAST,"The Metagenomics RAST server - A public resource for the automatic phylogenetic and functional analysis of metagenomes",19,2008,"21 September 2009 08:55:34"
18818371,"Ossowski S,Schneeberger K,Clark RM,Lanz C,Warthmann N,Weigel D","Genome Research",177," 18818371",Shore,"Sequencing of natural strains of Arabidopsis thaliana with short reads",18,2008,"13 November 2011 17:05:33"
18818729,"Steven L. Salzberg1,Daniel D. Sommer,Daniela Puiu,Vincent T. Lee","PLoS Computational Biology",21," 18818729",ABBA,"Gene-boosted assembly of a novel bacterial genome from very short reads.",4,2008,"11 August 2011 23:49:05"
18841204,"Richter DC,Ott F,Auch AF,Schmid R,Huson DH.","PLoS One",127," 18841204",MetaSim,"MetaSim: a sequencing simulator for genomics and metagenomics.",3,2008,"17 September 2009 17:54:34"
18842598,"Ondov BD,Varadarajan A,Passalacqua KD,Bergman NH.",Bioinformatics,34," 18842598",SOCS,"Efficient mapping of Applied Biosystems SOLiD sequence data to a reference genome for functional genomic applications.",24,2008,"21 September 2009 10:04:48"
18849524,"Paten B,Herrero J,Beal K,Fitzgerald S,Birney E","Genome Research",82," 18849524",PECAN,"Enredo and Pecan: genome-wide mammalian consistency-based multiple alignment with paralogs.",18,2008,"21 July 2010 22:51:26"
18851737,"Rougemont J,Amzallag A,Iseli C,Farinelli L,Xenarios I,Naef F.","BMC Bioinformatics",40," 18851737",Rolexa,"Probabilistic base calling of Solexa sequencing data.",9,2008,"9 September 2009 13:23:32"
18927605,"Hon G,Ren B,Wang W.","PLoS Computational Biology",61," 18927605",ChromaSig,"ChromaSig: a probabilistic approach to finding common chromatin signatures in the human genome.",4,2008,"13 January 2010 18:28:13"
18945685,"Cesaroni M,Cittaro D,Brozzi A,Pelicci PG,Luzi L",Bioinformatics,14," 18945685",CARPET,"CARPET: a web-based package for the analysis of ChIP-chip and expression tiling data.",,2008,"4 September 2009 08:18:28"
18952627,"Miller JR,Delcher AL,Koren S,Venter E,Walenz BP,Brownley A,Johnson J,Li K,Mobarry C,Sutton G",Bioinformatics,158," 18952627",CABOG,"Aggressive Assembly of Pyrosequencing Reads with Mates.",15,2008,"21 December 2009 23:28:54"
18974170,"Malhis N,Butterfield YS,Ester M,Jones SJ",Bioinformatics,19," 18974170",Slider,"Slider--maximum use of probability information for alignment of short sequence reads and SNP detection.",25,2009,"6 January 2010 15:40:04"
18976482,"Kurtz S,Narechania A,Stein JC,Ware D","BMC Genomics",42," 18976482",Tallymer,"A new method to compute K-mer frequencies and its application to annotate large repetitive plant genomes.",9,2008,"4 December 2009 16:23:30"
18978777,"Ji H,Jiang H,Ma W,Johnson DS,Myers RM,Wong WH.","Nature Biotechnology",315," 18978777",CisGenome,"An integrated software system for analyzing ChIP-chip and ChIP-seq data.",26,2008,"13 January 2010 18:25:11"
18996942,"Christley S,Lu Y,Li C,Xie X.",Bioinformatics,24," 18996942",DNAzip,"Human genomes as email attachments.",25,2009,"21 September 2009 10:47:18"
19002165,"Manuel Allhoff,Kristin Seré,Heike Chauvistré,Qiong Lin,Martin Zenke and Ivan G. Costa",Bioinformatics,0," btu722",ODIN,"Detecting differential peaks in ChIP-seq signals with ODIN.",,2014,"13 November 2014 12:21:14"
19014516,"Zhang Y,Shin H,Song JS,Lei Y,Liu XS.","BMC Genomics",56," 19014516",NPS,"Identifying positioned nucleosomes with epigenetic marks in human from ChIP-Seq.",,2008,"20 September 2011 13:08:50"
19017659,"Addo-Quaye C,Miller W,Axtell MJ.",Bioinformatics,70," 19017659",CleaveLand,"CleaveLand: a pipeline for using degradome data to find cleaved small RNA targets.",25,2009,"21 September 2009 10:42:33"
19043412,"Chiang DY,Getz G,Jaffe DB,O'Kelly MJ,Zhao X,Carter SL,Russ C,Nusbaum C,Meyerson M,Lander ES.","Nature Methods",172," 19043412",SeqSeg,"High-resolution mapping of copy-number alterations with massively parallel sequencing.",6,2009,"28 December 2009 21:03:28"
19056694,"Chaisson MJ,Brinza D,Pevzner PA.","Genome Research",98," 19056694",EULER,"De novo fragment assembly with short mate-paired reads: Does the read length matter?",19,2009,"21 September 2009 09:08:09"
19056777,"Paten B,Herrero J,Beal K,Birney E",Bioinformatics,24," 19056777",PECAN,"Sequence progressive alignment, a framework for practical large-scale probabilistic consistency alignment.",25,2009,"20 July 2010 13:04:15"
19061503,"Nix DA,Courdy SJ,Boucher KM.","BMC Bioinformatics",79," 19061503",USeq,"Empirical methods for controlling false positives and estimating confidence in ChIP-Seq peaks.",9,2008,"30 December 2009 16:49:16"
19079253,"Nusbaum C,Ohsumi TK,Gomez J,Aquadro J,Victor TC,Warren RM,Hung DT,Birren BW,Lander ES,Jaffe DB.","Nature Methods",25," 19079253",VAAL,"Sensitive, specific polymorphism discovery in bacteria using massively parallel sequencing.",6,2009,"5 January 2010 21:31:15"
19087247,"Denoeud F,Aury JM,Da Silva C,Noel B,Rogier O,Delledonne M,Morgante M,Valle G,Wincker P,Scarpelli C,Jaillon O,Artiguenave F.","Genome Biology",82," 19087247",G-Mo.R-Seq,"Annotating genomes with massive-scale RNA sequencing.",9,2008,"3 September 2009 17:44:06"
19122651,"Rozowsky J,Euskirchen G,Auerbach RK,Zhang ZD,Gibson T,Bjornson R,Carriero N,Snyder M,Gerstein MB.","Nature Biotechnology",235," 19122651",PeakSeq,"PeakSeq enables systematic scoring of ChIP-seq experiments relative to controls.",27,2009,"30 December 2009 16:42:10"
19129211,"Barker MS,Dlugosch KM,Reddy AC,Amyotte SN,Rieseberg LH.",Bioinformatics,9," 19129211",SCARF,"SCARF: maximizing next-generation EST assemblies for evolutionary and population genomic analyses.",25,2009,"3 September 2009 18:19:37"
19136549,"Warren RL,Nelson BH,Holt RA.",Bioinformatics,11," 19136549",ISSAKE,"Profiling model T-cell metagenomes with short reads.",25,2009,"3 September 2009 14:10:19"
19152793,"Scheibye-Alsing K,Hoffmann S,Frankel A,Jensen P,Stadler PF,Mang Y,Tommerup N,Gilchrist MJ,Nygård AB,Cirera S,Jørgensen CB,Fredholm M,Gorodkin J","Comput Biol Chem.",13," 19152793","Scheibye-Alsing 2009","Sequence assembly",33,2009,"31 May 2010 20:44:51"
19159488,"James E Koltes,Zhi-Liang Hu,Eric Fritz,James M Reecy","BMC Res Notes",2," 19159488",BEAP,"BEAP: The BLAST Extension and Alignment Program- a tool for contig construction and analysis of preliminary genome sequence",2,2009,"11 August 2011 23:52:35"
19160518,"Anton Valouev,David S Johnson,Andreas Sundquist,Catherine Medina,Elizabeth Anton,Serafim Batzoglou,Richard M Myers,Arend Sidow","Nature Methods",288," 19160518",QuEST,"Genome-wide analysis of transcription factor binding sites based on ChIP-Seq data.",5,2008,"19 September 2011 12:11:55"
19181860,"Zhao Q,Caballero OL,Levy S,Stevenson BJ,Iseli C,de Souza SJ,Galante PA,Busam D,Leversha MA,Chadalavada K,Rogers YH,Venter JC,Simpson AJ,Strausberg RL.",PNAS,49," 19181860","CLCbio Genomics Workbench","Transcriptome-guided characterization of genomic rearrangements in a breast cancer cell line.",106(6),2009,"30 August 2010 01:18:25"
19208115,"Hossain MS,Azimi N,Skiena S.",Bioinformatics,10," 19208115",SHORTY,"Crystallizing short-read assemblies around seeds.",10,2009,"3 September 2009 14:03:07"
19208116,"Wang W,Zhang P,Liu X.","BMC Bioinformatics",6," 19208116",EMBF,"Short read DNA fragment anchoring algorithm.",10S,2009,"5 January 2010 21:09:01"
19208250,"Bock C,Halachev K,Büch J,Lengauer T.","Genome Biology",21," 19208250",EpiGRAPH,"EpiGRAPH: user-friendly software for statistical analysis and prediction of (epi)genomic data.",,2009,"11 April 2012 13:22:50"
19218350,"Campagna D,Albiero A,Bilardi A,Caniato E,Forcato C,Manavski S,Vitulo N,Valle G",Bioinformatics,43," 19218350",PASS,"PASS: a program to align short sequences.",25,2009,"20 August 2011 16:37:37"
19228804,"Eaves HL,Gao Y.",Bioinformatics,15," 19228804",MOM,"MOM: maximum oligonucleotide mapping.",25,2009,"3 September 2009 14:12:33"
19236709,"Korbel JO,Abyzov A,Mu XJ,Carriero N,Cayting P,Zhang Z,Snyder M,Gerstein MB.",Bioinformatics,78," 19236709",PEMer,"PEMer: a computational framework with simulation-based error models for inferring genomic structural variants from massive paired-end sequencing data.",10,2009,"21 September 2009 08:29:37"
19239711,"Bryant DW Jr,Wong WK,Mockler TC","BMC Bioinformatics",21," 19239711",QSRA,"QSRA: a quality-value guided de novo short read assembler.",,2009,"5 January 2010 14:57:22"
19251739,"Simpson JT,Wong K,Jackman SD,Schein JE,Jones SJ,Birol I","Genome Research",640," 19251739",ABySS,"ABySS: A parallel assembler for short read sequence data",19,2009,"24 February 2010 14:57:15"
19252504,"Druley TE,Vallania FL,Wegner DJ,Varley KE,Knowles OL,Bonds JA,Robison SW,Doniger SW,Hamvas A,Cole FS,Fay JC,Mitra RD.","Nature Methods",80," 19252504",SNPSeeker,"Quantification of rare allelic variants from pooled genomic DNA.",6,2009,"29 September 2009 19:44:45"
19261174,"Langmead B,Trapnell C,Pop M,Salzberg SL.","Genome Biology","3,122"," 19261174",Bowtie,"Ultrafast and memory-efficient alignment of short DNA sequences to the human genome",10(3):R25,2009,"2 September 2009 08:21:34"
19267900,"Xie C,Tammi MT.","BMC Bioinformatics",117," 19267900",CNVseq,"CNV-seq, a new method to detect copy number variation using high-throughput sequencing.",10,2009,"3 September 2009 18:05:33"
19269990,"Rausch T,Koren S,Denisov G,Weese D,Emde AK,Döring A,Reinert K.",Bioinformatics,9," 19269990",SeqCons,"A consistency-based consensus algorithm for de novo and reference-guided sequence assembly of short reads.",25,2009,"4 September 2009 15:43:00"
19289445,"Trapnell C,Pachter L,Salzberg SL",Bioinformatics,"1,676"," 19289445",TopHat,"TopHat: discovering splice junctions with RNA-Seq.",25,2009,"17 February 2010 14:40:42"
19304878,"Cock PJ,Antao T,Chang JT,Chapman BA,Cox CJ,Dalke A,Friedberg I,Hamelryck T,Kauff F,Wilczynski B,de Hoon MJ",Bioinformatics,241," 19304878",Biopython,"Biopython: freely available Python tools for computational molecular biology and bioinformatics.",25,2009,"19 August 2009 11:25:05"
19307293,"Fahlgren N,Sullivan CM,Kasschau KD,Chapman EJ,Cumbie JS,Montgomery TA,Gilbert SD,Dasenko M,Backman TW,Givan SA,Carrington JC.",RNA,57," 19307293",CASHX,"Computational and analytical framework for small RNA profiling by high-throughput sequencing",15,2009,"13 January 2010 04:40:56"
19351619,"Kim YJ,Teletia N,Ruotti V,Maher CA,Chinnaiyan AM,Stewart R,Thomson JA,Patel JM.",Bioinformatics,7," 19351619",ProbeMatch,"ProbeMatch: rapid alignment of oligonucleotides to genome allowing both gaps and mismatches.",25,2009,"3 September 2009 18:25:53"
19357099,"Schatz MC",Bioinformatics,80," 19357099",CloudBurst,"CloudBurst: highly sensitive read mapping with MapReduce.",25,2009,"18 August 2009 22:08:43"
19369497,"Bao H,Guo H,Wang J,Zhou R,Lu X,Shi S.",Bioinformatics,41," 19369497",MapView,"MapView: visualization of short reads alignment on a desktop computer.",15,2009,"21 September 2009 08:07:54"
19389736,"Khan Z,Bloom JS,Kruglyak L,Singh M",Bioinformatics,8," 19389736",MUMmer,"A practical algorithm for finding maximal exact matches in large sequence datasets using sparse suffix arrays.",25,2009,"5 January 2010 14:26:17"
19420381,"Li R,Li Y,Fang X,Yang H,Wang J,Kristiansen K,Wang J.","Genome Research",261," 19420381",SOAPsnp,"SNP detection for massively parallel whole-genome resequencing.",19,2009,"18 December 2009 19:12:01"
19429899,"Zhou L,Pertea M,Delcher AL,Florea L.","Nucleic Acids Research",9," 19429899",Sim4cc,"Sim4cc: a cross-species spliced alignment program.",37,2009,"8 September 2009 19:28:04"
19433510,"Hackenberg M,Sturm M,Langenberger D,Falcón-Pérez JM,Aransay AM.","Nucleic Acids Research",81," 19433510",MiRanalyzer,"miRanalyzer: a microRNA detection and analysis tool for next-generation sequencing experiments.",37,2009,"8 September 2009 19:33:36"
19439514,"Qu W,Hashimoto S,Morishita S.","Genome Research",29," 19439514",FreClu,"Efficient frequency-based de novo short-read clustering for error trimming in next-generation sequencing.",19,2009,"9 September 2009 19:58:45"
19442283,"Kofler R,Teixeira Torres T,Lelley T,Schlötterer C.","BMC Bioinformatics",15," 19442283",PanGEA,"PanGEA: identification of allele specific gene expression using the 454 technology.",,2009,"28 October 2009 04:43:55"
19447789,"Choi H,Nesvizhskii AI,Ghosh D,Qin ZS.",Bioinformatics,17," 19447789",ChIPmeta,"Hierarchical hidden Markov model with application to joint analysis of ChIP-chip and ChIP-seq data.",25,2009,"21 September 2009 10:37:15"
19447966,"Hormozdiari F,Alkan C,Eichler EE,Sahinalp SC.","Genome Research",106," 19447966",VariationHunter,"Combinatorial algorithms for structural variation detection in high-throughput sequenced genomes.",19,2009,"2 September 2009 19:40:03"
19451168,"Li H,Durbin R.",Bioinformatics,"3,654"," 19451168",BWA,"Fast and accurate short read alignment with Burrows-Wheeler transform.",25,2009,"3 September 2009 18:29:47"
